year mon tb3m tb6m
1968 1 5 5.24
1968 2 4.98 5.17
1968 3 5.17 5.33
1968 4 5.38 5.49
1968 5 5.66 5.83
1968 6 5.52 5.64
1968 7 5.31 5.41
1968 8 5.09 5.23
1968 9 5.19 5.25
1968 10 5.35 5.41
1968 11 5.45 5.6
1968 12 5.96 6.06
1969 1 6.14 6.28
1969 2 6.12 6.3
1969 3 6.02 6.16
1969 4 6.11 6.13
1969 5 6.04 6.15
1969 6 6.44 6.75
1969 7 7 7.24
1969 8 6.98 7.19
1969 9 7.09 7.32
1969 10 7 7.29
1969 11 7.24 7.62
1969 12 7.82 7.9
1970 1 7.87 7.78
1970 2 7.13 7.22
1970 3 6.63 6.58
1970 4 6.51 6.6
1970 5 6.84 7.02
1970 6 6.68 6.86
1970 7 6.45 6.51
1970 8 6.41 6.55
1970 9 6.12 6.46
1970 10 5.91 6.21
1970 11 5.28 5.42
1970 12 4.87 4.89
1971 1 4.44 4.47
1971 2 3.7 3.78
1971 3 3.38 3.5
1971 4 3.86 4.03
1971 5 4.14 4.36
1971 6 4.75 4.97
1971 7 5.4 5.63
1971 8 4.94 5.22
1971 9 4.69 4.97
1971 10 4.46 4.6
1971 11 4.22 4.38
1971 12 4.01 4.23
1972 1 3.38 3.66
1972 2 3.2 3.63
1972 3 3.73 4.12
1972 4 3.71 4.23
1972 5 3.69 4.12
1972 6 3.91 4.35
1972 7 3.98 4.5
1972 8 4.02 4.55
1972 9 4.66 5.13
1972 10 4.74 5.13
1972 11 4.78 5.09
1972 12 5.07 5.3
1973 1 5.41 5.62
1973 2 5.6 5.83
1973 3 6.09 6.51
1973 4 6.26 6.52
1973 5 6.36 6.62
1973 6 7.19 7.23
1973 7 8.01 8.12
1973 8 8.67 8.65
1973 9 8.29 8.45
1973 10 7.22 7.32
1973 11 7.83 7.96
1973 12 7.45 7.56
1974 1 7.77 7.65
1974 2 7.12 6.96
1974 3 7.96 7.83
1974 4 8.33 8.32
1974 5 8.23 8.4
1974 6 7.9 8.12
1974 7 7.55 7.94
1974 8 8.96 9.11
1974 9 8.06 8.53
1974 10 7.46 7.74
1974 11 7.47 7.52
1974 12 7.15 7.11
1975 1 6.26 6.36
1975 2 5.5 5.62
1975 3 5.49 5.62
1975 4 5.61 6
1975 5 5.23 5.59
1975 6 5.34 5.61
1975 7 6.13 6.5
1975 8 6.44 6.94
1975 9 6.42 6.92
1975 10 5.96 6.25
1975 11 5.48 5.8
1975 12 5.44 5.85
1976 1 4.87 5.14
1976 2 4.88 5.2
1976 3 5 5.44
1976 4 4.86 5.18
1976 5 5.2 5.62
1976 6 5.41 5.77
1976 7 5.23 5.53
1976 8 5.14 5.4
1976 9 5.08 5.3
1976 10 4.92 5.06
1976 11 4.75 4.88
1976 12 4.35 4.51
1977 1 4.62 4.83
1977 2 4.67 4.9
1977 3 4.6 4.88
1977 4 4.54 4.8
1977 5 4.96 5.2
1977 6 5.02 5.21
1977 7 5.19 5.4
1977 8 5.49 5.83
1977 9 5.81 6.04
1977 10 6.16 6.43
1977 11 6.1 6.41
1977 12 6.07 6.4
1978 1 6.44 6.7
1978 2 6.45 6.74
1978 3 6.29 6.63
1978 4 6.29 6.73
1978 5 6.41 7.02
1978 6 6.73 7.23
1978 7 7.01 7.44
1978 8 7.08 7.37
1978 9 7.85 7.99
1978 10 7.99 8.55
1978 11 8.64 9.24
1978 12 9.08 9.36
1979 1 9.35 9.47
1979 2 9.32 9.41
1979 3 9.48 9.47
1979 4 9.46 9.49
1979 5 9.61 9.54
1979 6 9.06 9.06
1979 7 9.24 9.24
1979 8 9.52 9.49
1979 9 10.26 10.2
1979 10 11.7 11.66
1979 11 11.79 11.82
1979 12 12.04 11.84
1980 1 12 11.84
1980 2 12.86 12.86
1980 3 15.2 15.03
1980 4 13.2 12.88
1980 5 8.58 8.65
1980 6 7.07 7.3
1980 7 8.06 8.06
1980 8 9.13 9.41
1980 9 10.27 10.57
1980 10 11.62 11.63
1980 11 13.73 13.5
1980 12 15.49 14.64
1981 1 15.02 14.08
1981 2 14.79 14.05
1981 3 13.36 12.81
1981 4 13.69 13.45
1981 5 16.3 15.29
1981 6 14.73 14.09
1981 7 14.95 14.74
1981 8 15.51 15.52
1981 9 14.7 14.92
1981 10 13.54 13.82
1981 11 10.86 11.3
1981 12 10.85 11.52
1982 1 12.28 12.83
1982 2 13.48 13.61
1982 3 12.68 12.77
1982 4 12.7 12.8
1982 5 12.09 12.16
1982 6 12.47 12.7
1982 7 11.35 11.88
1982 8 8.68 9.88
1982 9 7.92 9.37
1982 10 7.71 8.29
1982 11 8.07 8.34
1982 12 7.94 8.16
1983 1 7.86 7.93
1983 2 8.11 8.23
1983 3 8.35 8.37
1983 4 8.21 8.3
1983 5 8.19 8.22
1983 6 8.79 8.89
1983 7 9.08 9.26
1983 8 9.34 9.51
1983 9 9 9.15
1983 10 8.64 8.83
1983 11 8.76 8.93
1983 12 9 9.17
1984 1 8.9 9.01
1984 2 9.09 9.18
1984 3 9.52 9.66
1984 4 9.69 9.84
1984 5 9.83 10.31
1984 6 9.87 10.51
1984 7 10.12 10.52
1984 8 10.47 10.61
1984 9 10.37 10.47
1984 10 9.74 9.87
1984 11 8.61 8.81
1984 12 8.06 8.28
1985 1 7.76 8
1985 2 8.27 8.39
1985 3 8.52 8.9
1985 4 7.95 8.23
1985 5 7.48 7.65
1985 6 6.95 7.09
1985 7 7.08 7.2
1985 8 7.14 7.32
1985 9 7.1 7.27
1985 10 7.16 7.33
1985 11 7.24 7.3
1985 12 7.1 7.14
1986 1 7.07 7.16
1986 2 7.06 7.11
1986 3 6.56 6.57
1986 4 6.06 6.08
1986 5 6.15 6.19
1986 6 6.21 6.27
1986 7 5.83 5.86
1986 8 5.53 5.55
1986 9 5.21 5.35
1986 10 5.18 5.26
1986 11 5.35 5.41
1986 12 5.53 5.55
1987 1 5.43 5.44
1987 2 5.59 5.59
1987 3 5.59 5.6
1987 4 5.64 5.9
1987 5 5.66 6.05
1987 6 5.67 5.99
1987 7 5.69 5.76
1987 8 6.04 6.15
1987 9 6.4 6.64
1987 10 6.13 6.69
1987 11 5.69 6.19
1987 12 5.77 6.36
1988 1 5.81 6.25
1988 2 5.66 5.93
1988 3 5.7 5.91
1988 4 5.91 6.21
1988 5 6.26 6.56
1988 6 6.46 6.71
1988 7 6.73 6.99
1988 8 7.06 7.39
1988 9 7.24 7.43
1988 10 7.35 7.5
1988 11 7.76 7.86
1988 12 8.07 8.22
1989 1 8.27 8.36
1989 2 8.53 8.55
1989 3 8.82 8.85
1989 4 8.65 8.65
1989 5 8.43 8.41
1989 6 8.15 7.93
1989 7 7.88 7.61
1989 8 7.9 7.74
1989 9 7.75 7.74
1989 10 7.64 7.62
1989 11 7.69 7.49
1989 12 7.63 7.42
1990 1 7.64 7.55
1990 2 7.74 7.7
1990 3 7.9 7.85
1990 4 7.77 7.84
1990 5 7.74 7.76
1990 6 7.73 7.63
1990 7 7.62 7.52
1990 8 7.45 7.38
1990 9 7.36 7.32
1990 10 7.17 7.16
1990 11 7.06 7.03
1990 12 6.74 6.7
1991 1 6.22 6.28
1991 2 5.94 5.93
1991 3 5.91 5.92
1991 4 5.65 5.71
1991 5 5.46 5.61
1991 6 5.57 5.75
1991 7 5.58 5.7
1991 8 5.33 5.39
1991 9 5.22 5.25
1991 10 4.99 5.04
1991 11 4.56 4.61
1991 12 4.07 4.1
1992 1 3.8 3.87
1992 2 3.84 3.93
1992 3 4.04 4.18
1992 4 3.75 3.87
1992 5 3.63 3.75
1992 6 3.66 3.77
1992 7 3.21 3.28
1992 8 3.13 3.21
1992 9 2.91 2.96
1992 10 2.86 3.04
1992 11 3.13 3.34
1992 12 3.22 3.36
1993 1 3 3.14
1993 2 2.93 3.07
1993 3 2.95 3.05
1993 4 2.87 2.97
1993 5 2.96 3.07
1993 6 3.07 3.2
1993 7 3.04 3.16
1993 8 3.02 3.14
1993 9 2.95 3.06
1993 10 3.02 3.12
1993 11 3.1 3.26
1993 12 3.06 3.23
1994 1 2.98 3.15
1994 2 3.25 3.43
1994 3 3.5 3.78
1994 4 3.68 4.09
1994 5 4.14 4.6
1994 6 4.14 4.55
1994 7 4.33 4.75
1994 8 4.48 4.88
1994 9 4.62 5.04
1994 10 4.95 5.39
1994 11 5.29 5.72
1994 12 5.6 6.21
1995 1 5.71 6.21
1995 2 5.77 6.03
1995 3 5.73 5.89
1995 4 5.65 5.77
1995 5 5.67 5.67
1995 6 5.47 5.42
1995 7 5.42 5.37
1995 8 5.4 5.41
1995 9 5.28 5.3
1995 10 5.28 5.32
1995 11 5.36 5.27
1995 12 5.14 5.13
1996 1 5 4.92
1996 2 4.83 4.77
1996 3 4.96 4.96
1996 4 4.95 5.06
1996 5 5.02 5.12
1996 6 5.09 5.25
1996 7 5.15 5.3
1996 8 5.05 5.13
1996 9 5.09 5.24
1996 10 4.99 5.11
1996 11 5.03 5.07
1996 12 4.91 5.04
1997 1 5.03 5.1
1997 2 5.01 5.06
1997 3 5.14 5.26
1997 4 5.16 5.37
1997 5 5.05 5.3
1997 6 4.93 5.13
1997 7 5.05 5.12
1997 8 5.14 5.19
1997 9 4.95 5.09
1997 10 4.97 5.09
1997 11 5.14 5.17
1997 12 5.16 5.24
1998 1 5.04 5.03
1998 2 5.09 5.07
1998 3 5.03 5.04
1998 4 4.95 5.06
1998 5 5 5.14
1998 6 4.98 5.12
1998 7 4.96 5.03
1998 8 4.9 4.95
1998 9 4.61 4.63
1998 10 3.96 4.05
1998 11 4.41 4.42
1998 12 4.39 4.4
1999 1 4.34 4.33
1999 2 4.44 4.44
1999 3 4.44 4.47
1999 4 4.29 4.37
1999 5 4.5 4.56
1999 6 4.57 4.82
1999 7 4.55 4.58
1999 8 4.72 4.87
1999 9 4.68 4.88
1999 10 4.86 4.98
1999 11 5.07 5.2
1999 12 5.2 5.44
2000 1 5.32 5.5
2000 2 5.55 5.72
2000 3 5.69 5.85
2000 4 5.66 5.81
2000 5 5.79 6.1
2000 6 5.69 5.97
2000 7 5.96 6
2000 8 6.09 6.07
2000 9 6 5.98
2000 10 6.11 6.04
2000 11 6.17 6.06
2000 12 5.77 5.68
2001 1 5.15 4.95
2001 2 4.88 4.71
2001 3 4.42 4.28
2001 4 3.87 3.85
2001 5 3.62 3.62
2001 6 3.49 3.45
2001 7 3.51 3.45
2001 8 3.36 3.29
2001 9 2.64 2.63
2001 10 2.16 2.12
2001 11 1.87 1.88
2001 12 1.69 1.78
2002 1 1.65 1.73
2002 2 1.73 1.82
2002 3 1.79 2.01
2002 4 1.72 1.93
2002 5 1.73 1.86
2002 6 1.7 1.79
2002 7 1.68 1.7
2002 8 1.62 1.6
2002 9 1.63 1.6
2002 10 1.58 1.56
2002 11 1.23 1.27
2002 12 1.19 1.24
2003 1 1.17 1.2
2003 2 1.17 1.18
2003 3 1.13 1.13
2003 4 1.13 1.14
2003 5 1.07 1.08
2003 6 0.92 0.92
2003 7 0.9 0.95
2003 8 0.95 1.03
2003 9 0.94 1.01
2003 10 0.92 1
2003 11 0.93 1.02
2003 12 0.9 0.99
2004 1 0.88 0.97
2004 2 0.93 0.99
2004 3 0.94 0.99
2004 4 0.94 1.09
2004 5 1.02 1.31
2004 6 1.27 1.6
2004 7 1.33 1.66
2004 8 1.48 1.72
2004 9 1.65 1.87
2004 10 1.76 2
2004 11 2.07 2.27
2004 12 2.19 2.43
2005 1 2.33 2.61
2005 2 2.54 2.77
2005 3 2.74 3
2005 4 2.78 3.05
2005 5 2.84 3.08
2005 6 2.97 3.13
2005 7 3.22 3.42
2005 8 3.44 3.66
2005 9 3.42 3.67
2005 10 3.71 3.99
2005 11 3.88 4.15
2005 12 3.89 4.18
2006 1 4.24 4.31
2006 2 4.43 4.52
2006 3 4.51 4.62
2006 4 4.6 4.72
2006 5 4.72 4.82
2006 6 4.79 4.97
2006 7 4.95 5.06
2006 8 4.96 4.97
2006 9 4.81 4.89
2006 10 4.92 4.92
2006 11 4.94 4.95
2006 12 4.85 4.88
2007 1 4.98 4.95
2007 2 5.03 4.96
2007 3 4.94 4.89
2007 4 4.87 4.86
2007 5 4.73 4.78
2007 6 4.61 4.76
2007 7 4.82 4.83
2007 8 4.2 4.38
2007 9 3.89 4.05
2007 10 3.9 4.01
2007 11 3.27 3.46
2007 12 3 3.23
2008 1 2.75 2.75
2008 2 2.12 2.04
2008 3 1.26 1.48
2008 4 1.29 1.55
2008 5 1.73 1.82
2008 6 1.86 2.13
2008 7 1.63 1.93
2008 8 1.72 1.92
2008 9 1.13 1.61
2008 10 0.67 1.2
2008 11 0.19 0.73
2008 12 0.03 0.26
2009 1 0.13 0.3
2009 2 0.3 0.45
2009 3 0.21 0.42
2009 4 0.16 0.35
2009 5 0.18 0.3
2009 6 0.18 0.31
2009 7 0.18 0.27
2009 8 0.17 0.26
2009 9 0.12 0.21
2009 10 0.07 0.16
2009 11 0.05 0.15
2009 12 0.05 0.17
2010 1 0.06 0.15
2010 2 0.11 0.18
