date          ibm           vw         ew
19630215     0.00239      0.0014      0.0016
19630218    -0.00209      0.0017      0.0003
19630219    -0.00808     -0.0041     -0.0046
19630220    -0.00844     -0.0050     -0.0029
19630221    -0.00182      0.0012      0.0024
19630225    -0.01523     -0.0059     -0.0041
19630226     0.00681      0.0010      0.0013
19630227    -0.00369     -0.0063     -0.0041
19630228    -0.01357     -0.0110     -0.0096
19630301    -0.00625     -0.0032     -0.0035
19630304     0.01573      0.0091      0.0076
19630305    -0.00434     -0.0000     -0.0016
19630306     0.00778      0.0018     -0.0007
19630307     0.00957      0.0058      0.0045
19630308    -0.00061      0.0012      0.0016
19630311    -0.00061      0.0022      0.0011
19630312    -0.00061      0.0025      0.0002
19630313     0.00184      0.0032      0.0018
19630314     0.00306     -0.0043     -0.0023
19630315     0.00793      0.0040      0.0013
19630318    -0.00907     -0.0042     -0.0048
19630319     0.00122     -0.0022     -0.0038
19630320     0.00976      0.0072      0.0055
19630321    -0.00664     -0.0011      0.0005
19630322     0.00729      0.0045      0.0034
19630325    -0.00181      0.0005     -0.0017
19630326     0.00665      0.0026      0.0020
19630327     0.01141      0.0041      0.0036
19630328    -0.00059     -0.0011      0.0004
19630329     0.00059      0.0001      0.0011
19630401     0.00000      0.0037      0.0026
19630402    -0.00831     -0.0002     -0.0011
19630403     0.01138      0.0071      0.0036
19630404     0.01806      0.0062      0.0040
19630405     0.02821      0.0058      0.0028
19630408     0.01612      0.0035      0.0041
19630409    -0.00974     -0.0006      0.0004
19630410    -0.00534     -0.0024     -0.0023
19630411     0.00876      0.0066      0.0054
19630415    -0.00056      0.0039      0.0010
19630416    -0.00729      0.0009     -0.0000
19630417    -0.00508     -0.0021     -0.0005
19630418     0.00000      0.0010      0.0013
19630419     0.02157      0.0048      0.0034
19630422     0.01556      0.0006      0.0009
19630423     0.00875      0.0036      0.0011
19630424     0.00325      0.0027      0.0017
19630425     0.00351      0.0007      0.0008
19630426     0.01266     -0.0005      0.0018
19630429    -0.00319     -0.0008     -0.0017
19630430    -0.01014      0.0022      0.0016
19630501     0.00270      0.0026      0.0010
19630502     0.00806      0.0027      0.0029
19630503    -0.00693     -0.0014      0.0008
19630506    -0.01557     -0.0062     -0.0033
19630507     0.00655     -0.0001      0.0004
19630508     0.02118      0.0078      0.0051
19630509     0.00106      0.0044      0.0038
19630510     0.00956      0.0031      0.0042
19630513    -0.00789      0.0004      0.0019
19630514    -0.00159     -0.0026      0.0018
19630515     0.00319      0.0025      0.0033
19630516    -0.00424     -0.0021     -0.0009
19630517    -0.00638      0.0010      0.0024
19630520    -0.00910     -0.0038     -0.0009
19630521     0.00918      0.0022      0.0027
19630522    -0.00214      0.0005      0.0020
19630523    -0.00322     -0.0007      0.0005
19630524    -0.00323     -0.0011     -0.0002
19630527    -0.01080     -0.0010     -0.0025
19630528     0.00437      0.0018      0.0016
19630529     0.02174      0.0044      0.0042
19630531     0.01543      0.0056      0.0042
19630603    -0.00838     -0.0006     -0.0005
19630604     0.00158      0.0001      0.0008
19630605    -0.00844     -0.0023     -0.0008
19630606     0.00000      0.0002      0.0014
19630607    -0.00372     -0.0018     -0.0003
19630610    -0.01281     -0.0055     -0.0039
19630611     0.00595      0.0011      0.0018
19630612     0.00699      0.0048      0.0039
19630613    -0.01014     -0.0024      0.0004
19630614    -0.00054      0.0006      0.0004
19630617    -0.00863     -0.0039     -0.0014
19630618    -0.00163      0.0013      0.0013
19630619    -0.00327      0.0010      0.0013
19630620    -0.00492     -0.0011     -0.0019
19630621     0.00165      0.0033      0.0054
19630624    -0.01427     -0.0008     -0.0004
19630625    -0.00501     -0.0022     -0.0027
19630626    -0.01791     -0.0090     -0.0089
19630627    -0.01026     -0.0048     -0.0054
19630628     0.00461      0.0041      0.0030
19630701    -0.02235     -0.0065     -0.0047
19630702     0.02814      0.0080      0.0051
19630703     0.00741      0.0064      0.0054
19630705     0.00736      0.0041      0.0036
19630708    -0.02022     -0.0061     -0.0045
19630709     0.01118      0.0046      0.0045
19630710    -0.00879     -0.0016      0.0002
19630711    -0.00686     -0.0015     -0.0002
19630712    -0.00576     -0.0011      0.0004
19630715     0.00232     -0.0060     -0.0043
19630716     0.00636     -0.0007     -0.0006
19630717    -0.00517     -0.0032     -0.0029
19630718    -0.00808     -0.0057     -0.0054
19630719    -0.00058     -0.0025     -0.0032
19630722    -0.00291     -0.0064     -0.0067
19630723    -0.00292      0.0002     -0.0007
19630724     0.00410      0.0046      0.0035
19630725     0.00117     -0.0003      0.0012
19630726     0.00583      0.0036      0.0021
19630729     0.00348      0.0011      0.0000
19630730     0.02309      0.0084      0.0049
19630731    -0.01919     -0.0012     -0.0007
19630801     0.00115     -0.0007     -0.0021
19630802    -0.00690      0.0030      0.0024
19630805     0.01331      0.0057      0.0024
19630806     0.01142      0.0061      0.0021
19630807    -0.01047     -0.0017      0.0001
19630808     0.00429      0.0014     -0.0001
19630809     0.01025      0.0060      0.0052
19630812     0.00451      0.0026      0.0025
19630813     0.01964      0.0027      0.0006
19630814     0.00605      0.0032      0.0019
19630815    -0.00656      0.0044      0.0037
19630816    -0.00330      0.0017      0.0019
19630819    -0.00110     -0.0003     -0.0006
19630820    -0.01217     -0.0005     -0.0004
19630821     0.00504     -0.0010      0.0017
19630822     0.00836      0.0039      0.0044
19630823    -0.00884      0.0035      0.0038
19630826     0.00334      0.0019      0.0020
19630827    -0.01778     -0.0041     -0.0026
19630828     0.00339      0.0077      0.0084
19630829    -0.00225      0.0019      0.0027
19630830     0.00508      0.0044      0.0052
19630903     0.00618      0.0024      0.0038
19630904     0.00112      0.0002      0.0002
19630905     0.00558      0.0049      0.0031
19630906     0.01776     -0.0025     -0.0023
19630909    -0.00436     -0.0034     -0.0045
19630910     0.00329      0.0053      0.0040
19630911    -0.00218      0.0026      0.0010
19630912    -0.00109     -0.0008     -0.0007
19630913    -0.00219      0.0004      0.0037
19630916    -0.00110     -0.0013      0.0000
19630917     0.00027      0.0004      0.0006
19630918    -0.01126     -0.0040     -0.0023
19630919     0.00944      0.0054      0.0035
19630920     0.00495      0.0007      0.0001
19630923    -0.00438     -0.0048     -0.0045
19630924     0.01760      0.0036      0.0000
19630925    -0.00973     -0.0055     -0.0064
19630926    -0.01692     -0.0079     -0.0044
19630927    -0.00389     -0.0017      0.0009
19630930     0.00780     -0.0058     -0.0026
19631001    -0.00498      0.0064      0.0033
19631002    -0.00111      0.0011      0.0001
19631003     0.01725      0.0068      0.0064
19631004     0.00985      0.0002      0.0005
19631007     0.01733     -0.0021     -0.0009
19631008    -0.01491     -0.0012      0.0008
19631009     0.00000     -0.0059     -0.0041
19631010     0.00649      0.0010      0.0001
19631011     0.00752      0.0015      0.0053
19631014     0.01493      0.0006     -0.0002
19631015     0.00420      0.0017      0.0014
19631016     0.02563      0.0089      0.0051
19631017     0.00408      0.0015      0.0029
19631018     0.00508      0.0010      0.0025
19631021    -0.00152      0.0004     -0.0008
19631022    -0.01619     -0.0052     -0.0041
19631023    -0.00617      0.0004      0.0001
19631024     0.00414      0.0036      0.0030
19631025     0.01753      0.0083      0.0021
19631028     0.00760      0.0041     -0.0027
19631029    -0.01207     -0.0002     -0.0017
19631030    -0.01425     -0.0076     -0.0039
19631031     0.02013      0.0022      0.0011
19631101    -0.01113     -0.0014      0.0008
19631104    -0.00665     -0.0042     -0.0040
19631106    -0.00826     -0.0075     -0.0064
19631107     0.00313      0.0035      0.0033
19631108     0.00623      0.0055      0.0053
19631111     0.00516      0.0022      0.0035
19631112     0.00205     -0.0035     -0.0016
19631113     0.00307      0.0007     -0.0001
19631114    -0.00511     -0.0039     -0.0002
19631115    -0.00411     -0.0073     -0.0036
19631118    -0.00928     -0.0072     -0.0060
19631119    -0.01717      0.0011     -0.0008
19631120    -0.00053      0.0075     -0.0024
19631121    -0.01695     -0.0122     -0.0116
19631122     0.00269     -0.0285     -0.0295
19631126     0.01290      0.0390      0.0269
19631127     0.01432     -0.0014      0.0024
19631129     0.01517      0.0136      0.0151
19631202     0.01391      0.0054      0.0009
19631203    -0.00508     -0.0004     -0.0020
19631204    -0.01328      0.0027      0.0034
19631205     0.00932      0.0059      0.0005
19631206    -0.00615     -0.0031     -0.0010
19631209    -0.00103     -0.0009     -0.0030
19631210    -0.00620      0.0007     -0.0012
19631211    -0.00208     -0.0011     -0.0013
19631212    -0.00990     -0.0000     -0.0014
19631213     0.00000      0.0017      0.0010
19631216     0.00158      0.0026     -0.0014
19631217     0.01576      0.0045     -0.0006
19631218     0.00000     -0.0016     -0.0023
19631219    -0.00103     -0.0033     -0.0032
19631220     0.00104     -0.0017     -0.0030
19631223    -0.00103     -0.0058     -0.0040
19631224     0.00311      0.0024      0.0030
19631226     0.01238      0.0050      0.0066
19631227     0.00612      0.0019      0.0031
19631230     0.01114      0.0009     -0.0032
19631231     0.01603      0.0058      0.0102
19640102     0.01972      0.0061      0.0151
19640103    -0.01354      0.0019      0.0055
19640106     0.00294      0.0026      0.0050
19640107    -0.00684      0.0006      0.0031
19640108     0.00984      0.0034      0.0047
19640109     0.03021      0.0032      0.0019
19640110     0.00851     -0.0001      0.0013
19640113     0.00563     -0.0006     -0.0000
19640114    -0.00187      0.0017     -0.0003
19640115     0.04860      0.0027      0.0003
19640116    -0.01961     -0.0008      0.0006
19640117     0.00545      0.0002      0.0014
19640120    -0.00181     -0.0023     -0.0021
19640121    -0.01812      0.0024     -0.0005
19640122     0.00923      0.0050      0.0030
19640123     0.00457      0.0012      0.0013
19640124    -0.00637      0.0006      0.0027
19640127    -0.01099     -0.0012     -0.0021
19640128    -0.01111     -0.0002     -0.0017
19640129    -0.01873     -0.0056     -0.0032
19640130     0.00954      0.0004      0.0000
19640131     0.02457      0.0040      0.0017
19640203    -0.00185     -0.0001      0.0010
19640204    -0.00046     -0.0012     -0.0026
19640205    -0.00649     -0.0007      0.0008
19640206     0.00000      0.0025      0.0016
19640207     0.00187      0.0038      0.0042
19640210     0.00559     -0.0013     -0.0006
19640211     0.00370      0.0034      0.0026
19640212     0.00738      0.0031      0.0035
19640213     0.01465      0.0009      0.0007
19640214     0.00271     -0.0003      0.0014
19640217    -0.00450      0.0003      0.0020
19640218     0.00181      0.0002     -0.0007
19640219     0.00000      0.0013      0.0009
19640220     0.00271      0.0010      0.0030
19640224     0.00225      0.0012      0.0028
19640225     0.02380      0.0005      0.0006
19640226     0.00965      0.0029      0.0045
19640227    -0.01564     -0.0028     -0.0002
19640228     0.00441      0.0022      0.0035
19640302    -0.00791      0.0025      0.0039
19640303    -0.00089      0.0025     -0.0008
19640304    -0.01064     -0.0018     -0.0003
19640305     0.00806      0.0002      0.0013
19640306     0.00978      0.0033      0.0048
19640309     0.00000      0.0002      0.0010
19640310     0.00088      0.0028      0.0006
19640311     0.01187      0.0041      0.0025
19640312     0.01695      0.0019      0.0012
19640313     0.00598      0.0012      0.0029
19640316    -0.00680      0.0006      0.0010
19640317    -0.00171      0.0020      0.0018
19640318    -0.00643      0.0011      0.0012
19640319    -0.00431     -0.0007      0.0001
19640320    -0.00476     -0.0040     -0.0007
19640323     0.00957      0.0004      0.0021
19640324     0.00345     -0.0016     -0.0002
19640325     0.00773      0.0026      0.0035
19640326     0.00341      0.0027      0.0037
19640330     0.00085     -0.0008      0.0004
19640331     0.00891     -0.0015     -0.0006
19640401     0.00168      0.0036      0.0048
19640402     0.00462      0.0059      0.0050
19640403     0.00084      0.0024      0.0031
19640406    -0.00251      0.0009      0.0047
19640407    -0.01466     -0.0032     -0.0020
19640408    -0.00637      0.0003      0.0026
19640409     0.00128      0.0002      0.0007
19640410     0.01965      0.0019      0.0032
19640413    -0.01089     -0.0006     -0.0004
19640414    -0.00720      0.0019     -0.0001
19640415    -0.00341      0.0012      0.0008
19640416    -0.00300      0.0011      0.0015
19640417     0.00558      0.0039      0.0029
19640420    -0.00598     -0.0006     -0.0016
19640421     0.01375      0.0004     -0.0006
19640422     0.00678     -0.0003     -0.0010
19640423    -0.01684     -0.0016     -0.0010
19640424    -0.00171     -0.0076     -0.0070
19640427    -0.00343     -0.0052     -0.0054
19640428     0.00430      0.0064      0.0045
19640429    -0.01200     -0.0039     -0.0055
19640430    -0.01084     -0.0023     -0.0040
19640501     0.01622      0.0078      0.0055
19640504     0.00777      0.0046      0.0044
19640505     0.00128      0.0045      0.0006
19640506    -0.00128      0.0027      0.0002
19640507    -0.00128      0.0011      0.0027
19640508     0.00214     -0.0016     -0.0007
19640511    -0.00086     -0.0001     -0.0005
19640512     0.00428      0.0033      0.0007
19640513     0.00128     -0.0022     -0.0019
19640514    -0.00468     -0.0009      0.0015
19640515     0.00513      0.0016      0.0007
19640518     0.00638     -0.0032     -0.0022
19640519     0.01057     -0.0043     -0.0026
19640520     0.01517      0.0043      0.0028
19640521     0.00773      0.0009      0.0004
19640522     0.00409      0.0007      0.0012
19640525    -0.01273     -0.0010     -0.0004
19640526    -0.00310     -0.0016     -0.0014
19640527    -0.01141     -0.0012     -0.0021
19640528     0.00735      0.0016      0.0018
19640601    -0.01406     -0.0032     -0.0025
19640602     0.00475     -0.0051     -0.0053
19640603    -0.01157     -0.0026     -0.0024
19640604    -0.01755     -0.0100     -0.0085
19640605     0.00487      0.0041      0.0024
19640608    -0.00647     -0.0046     -0.0041
19640609     0.01952      0.0057      0.0033
19640610    -0.00638      0.0038      0.0034
19640611     0.00428      0.0030      0.0020
19640612     0.00746     -0.0020      0.0004
19640615     0.00741      0.0046      0.0033
19640616     0.00683      0.0052      0.0041
19640617     0.00574      0.0052      0.0046
19640618    -0.00934      0.0002      0.0009
19640619     0.00419      0.0012      0.0016
19640622     0.00261      0.0026      0.0020
19640623    -0.00416     -0.0035     -0.0013
19640624     0.00522      0.0035      0.0029
19640625    -0.00052      0.0019      0.0026
19640626    -0.00624      0.0028      0.0036
19640629    -0.00157      0.0018      0.0016
19640630    -0.00052      0.0005     -0.0001
19640701     0.00839      0.0062      0.0047
19640702     0.00624      0.0040      0.0045
19640706     0.00826      0.0043      0.0024
19640707     0.00615      0.0016      0.0017
19640708    -0.00407      0.0003      0.0013
19640709    -0.00256      0.0014      0.0035
19640710    -0.01076      0.0021      0.0024
19640713    -0.00207     -0.0005     -0.0000
19640714    -0.01973     -0.0026      0.0002
19640715     0.01059      0.0037      0.0032
19640716     0.00419      0.0032      0.0017
19640717     0.00000      0.0045      0.0039
19640720    -0.01044     -0.0028     -0.0009
19640721    -0.00369     -0.0017     -0.0007
19640722    -0.00159      0.0003      0.0016
19640723    -0.00318     -0.0001      0.0015
19640724    -0.01330     -0.0002      0.0012
19640727    -0.00485     -0.0047     -0.0035
19640728    -0.00217     -0.0023     -0.0007
19640729     0.00896      0.0013      0.0019
19640730    -0.00673      0.0014      0.0023
19640731     0.00108      0.0008      0.0012
19640803    -0.00487     -0.0023     -0.0030
19640804    -0.03100     -0.0110     -0.0089
19640805     0.01519      0.0017     -0.0011
19640806    -0.01386     -0.0084     -0.0040
19640807     0.00956      0.0057      0.0040
19640810     0.00000      0.0004      0.0004
19640811    -0.00780      0.0000      0.0017
19640812     0.00673      0.0051      0.0055
19640813     0.00892      0.0029      0.0037
19640814    -0.01215     -0.0009      0.0014
19640817     0.00112      0.0000     -0.0010
19640818     0.00056      0.0007      0.0004
19640819    -0.00949     -0.0008     -0.0002
19640820    -0.02142     -0.0042     -0.0026
19640821     0.01152      0.0018      0.0029
19640824    -0.00883     -0.0019     -0.0005
19640825    -0.01523     -0.0048     -0.0040
19640826    -0.00175     -0.0015     -0.0024
19640827     0.00526      0.0050      0.0028
19640828     0.01802      0.0032      0.0026
19640831     0.00628     -0.0018     -0.0005
19640901     0.00114      0.0046      0.0033
19640902     0.00227      0.0022      0.0032
19640903     0.00509      0.0027      0.0023
19640904    -0.00028      0.0023      0.0041
19640908    -0.00873      0.0014      0.0013
19640909    -0.01136      0.0020      0.0014
19640910    -0.02096      0.0010      0.0019
19640911    -0.00205      0.0035      0.0019
19640914    -0.03116     -0.0022     -0.0002
19640915     0.01092     -0.0022     -0.0014
19640916     0.02431      0.0029      0.0025
19640917     0.01729      0.0060      0.0038
19640918    -0.01959     -0.0033     -0.0011
19640921     0.00235      0.0043      0.0044
19640922    -0.00234      0.0006      0.0013
19640923     0.01058      0.0002      0.0016
19640924     0.00465      0.0011      0.0021
19640925     0.01563      0.0023      0.0027
19640928    -0.00798      0.0007      0.0025
19640929     0.00517      0.0001      0.0013
19640930    -0.00229     -0.0002      0.0017
19641001    -0.00401     -0.0013     -0.0000
19641002    -0.00403      0.0024      0.0010
19641005    -0.00635      0.0042      0.0038
19641006    -0.01220      0.0004      0.0002
19641007     0.00118     -0.0001      0.0006
19641008     0.00705      0.0026      0.0023
19641009     0.00583      0.0021      0.0039
19641012    -0.00696      0.0007      0.0030
19641013    -0.01636     -0.0022     -0.0001
19641014     0.00238     -0.0016      0.0004
19641015     0.00829     -0.0069     -0.0095
19641016     0.01293      0.0070      0.0095
19641019    -0.00696      0.0015      0.0043
19641020    -0.00876      0.0027      0.0023
19641021     0.00059     -0.0003      0.0005
19641022    -0.00353     -0.0016      0.0002
19641023    -0.00384      0.0021      0.0014
19641026    -0.01513     -0.0016     -0.0000
19641027     0.00361     -0.0003     -0.0003
19641028     0.00600     -0.0033     -0.0038
19641029     0.00358      0.0006     -0.0000
19641030    -0.00119      0.0018      0.0028
19641102    -0.00417      0.0045      0.0021
19641104     0.00000      0.0000     -0.0009
19641105     0.00420      0.0001     -0.0010
19641106    -0.00060      0.0021      0.0007
19641109     0.00119     -0.0002     -0.0010
19641110     0.00000     -0.0039     -0.0041
19641111     0.00000      0.0027      0.0035
19641112     0.00119      0.0020      0.0042
19641113     0.01609      0.0013      0.0034
19641116     0.01349      0.0044      0.0017
19641117    -0.00231      0.0046      0.0014
19641118    -0.02320      0.0025      0.0024
19641119     0.00000     -0.0000      0.0001
19641120     0.01128      0.0011      0.0011
19641123    -0.00646     -0.0024     -0.0010
19641124    -0.00946     -0.0025     -0.0024
19641125    -0.00477     -0.0020      0.0008
19641127    -0.00120     -0.0028     -0.0011
19641130    -0.00960     -0.0084     -0.0075
19641201    -0.01212     -0.0097     -0.0081
19641202     0.00123      0.0028      0.0001
19641203     0.01103      0.0040      0.0024
19641204     0.01091      0.0019      0.0020
19641207    -0.00120     -0.0000     -0.0022
19641208    -0.02041     -0.0034     -0.0049
19641209    -0.00214     -0.0065     -0.0080
19641210     0.00461     -0.0003     -0.0009
19641211     0.01039      0.0023      0.0028
19641214    -0.00544     -0.0024     -0.0025
19641215    -0.00091     -0.0032     -0.0045
19641216     0.00091      0.0040      0.0037
19641217     0.00487      0.0037      0.0038
19641218     0.00484      0.0049      0.0053
19641221     0.00000      0.0009      0.0002
19641222    -0.00241     -0.0005     -0.0021
19641223    -0.00725     -0.0019     -0.0018
19641224     0.00608      0.0003      0.0029
19641228    -0.00181     -0.0008     -0.0021
19641229    -0.00545     -0.0029     -0.0029
19641230     0.00183      0.0058      0.0036
19641231    -0.00426      0.0052      0.0051
19650104    -0.01068     -0.0043      0.0050
19650105    -0.00247      0.0050      0.0087
19650106     0.01144      0.0037      0.0073
19650107     0.02202      0.0041      0.0061
19650108     0.01735      0.0018      0.0042
19650111    -0.00647      0.0007      0.0036
19650112     0.00237      0.0029      0.0036
19650113     0.00177      0.0029      0.0037
19650114     0.00943      0.0002      0.0018
19650115     0.01577      0.0043      0.0045
19650118     0.01265      0.0030      0.0024
19650119     0.00852      0.0018      0.0010
19650120    -0.00056     -0.0001     -0.0000
19650121    -0.00169     -0.0008      0.0007
19650122     0.00847      0.0026      0.0044
19650125    -0.00280      0.0017      0.0035
19650126    -0.00505      0.0013      0.0012
19650127     0.01184      0.0031      0.0041
19650128     0.00111      0.0027      0.0022
19650129    -0.00111      0.0013      0.0040
19650201    -0.00669      0.0003      0.0014
19650202     0.00112      0.0007      0.0013
19650203    -0.00506      0.0015      0.0023
19650204     0.01470     -0.0000      0.0027
19650205    -0.00724     -0.0023     -0.0002
19650208    -0.01010     -0.0032     -0.0014
19650209     0.01247      0.0033      0.0037
19650210    -0.01568     -0.0082     -0.0074
19650211     0.00114     -0.0097     -0.0064
19650212     0.00199      0.0067      0.0079
19650215    -0.01786     -0.0004      0.0026
19650216    -0.00693     -0.0033     -0.0000
19650217     0.00581      0.0017      0.0026
19650218     0.02543      0.0031      0.0054
19650219     0.00902      0.0021      0.0048
19650223     0.00112      0.0049      0.0058
19650224     0.00335      0.0065      0.0048
19650225     0.01112      0.0010      0.0022
19650226     0.00275      0.0026      0.0024
19650301    -0.00110     -0.0014      0.0022
19650302     0.00165      0.0019      0.0028
19650303    -0.00548     -0.0003      0.0024
19650304    -0.01047     -0.0028      0.0014
19650305     0.00724     -0.0018     -0.0005
19650308     0.00498      0.0006      0.0043
19650309     0.01321     -0.0014     -0.0032
19650310    -0.00706     -0.0008      0.0008
19650311     0.00547      0.0039      0.0034
19650312     0.01088      0.0031      0.0038
19650315     0.00592      0.0007      0.0015
19650316    -0.00696     -0.0009     -0.0003
19650317    -0.00216     -0.0012     -0.0002
19650318     0.00324     -0.0024     -0.0010
19650319    -0.00323     -0.0000      0.0013
19650322     0.00108     -0.0001      0.0007
19650323    -0.00485      0.0006      0.0004
19650324    -0.00488      0.0019      0.0021
19650325    -0.00654     -0.0026      0.0011
19650326    -0.01535     -0.0067     -0.0053
19650329     0.01281     -0.0023     -0.0031
19650330     0.00000      0.0020      0.0016
19650331    -0.00110      0.0002      0.0025
