year mon day idx
2001 6 6 285.88
2001 6 7 285.33
2001 6 8 284.8
2001 6 11 285.67
2001 6 12 286.33
2001 6 13 286.37
2001 6 14 287.01
2001 6 15 286.74
2001 6 18 286.84
2001 6 19 286.61
2001 6 20 286.99
2001 6 21 287.31
2001 6 22 288.33
2001 6 25 288.17
2001 6 26 287.3
2001 6 27 287.14
2001 6 28 285.8
2001 6 29 284.93
2001 7 2 285.55
2001 7 3 285.27
2001 7 5 284.66
2001 7 6 285.55
2001 7 9 286.09
2001 7 10 286.83
2001 7 11 286.77
2001 7 12 287.28
2001 7 13 287.29
2001 7 16 288.12
2001 7 17 288.12
2001 7 18 289.51
2001 7 19 289.31
2001 7 20 289.26
2001 7 23 289.88
2001 7 24 290.14
2001 7 25 289.31
2001 7 26 289.56
2001 7 27 290.4
2001 7 30 290.98
2001 7 31 291.64
2001 8 1 291.17
2001 8 2 290.47
2001 8 3 290.24
2001 8 6 290.45
2001 8 7 290.46
2001 8 8 291.95
2001 8 9 291.6
2001 8 10 292.14
2001 8 13 292.59
2001 8 14 292.47
2001 8 15 292.17
2001 8 16 292.82
2001 8 17 294.01
2001 8 20 293.36
2001 8 21 293.6
2001 8 22 293.46
2001 8 23 293.94
2001 8 24 293.48
2001 8 27 293.45
2001 8 28 294.64
2001 8 29 295.45
2001 8 30 295.63
2001 8 31 295.14
2001 9 4 293.46
2001 9 5 293.81
2001 9 6 295.32
2001 9 7 296.28
2001 9 10 295.98
2001 9 17 294.26
2001 9 18 292.68
2001 9 19 294.14
2001 9 20 295.74
2001 9 21 296.11
2001 9 24 295.78
2001 9 25 296.12
2001 9 26 297.29
2001 9 27 297.96
2001 9 28 298.48
2001 10 1 298.83
2001 10 2 299.49
2001 10 3 299.59
2001 10 4 299.69
2001 10 5 299.98
2001 10 8 300.14
2001 10 9 299.12
2001 10 10 299.25
2001 10 11 298.24
2001 10 12 298.59
2001 10 15 299.24
2001 10 16 299.71
2001 10 17 299.98
2001 10 18 300.09
2001 10 19 299.31
2001 10 22 299.43
2001 10 23 299.5
2001 10 24 300.38
2001 10 25 301.53
2001 10 26 301.9
2001 10 29 302.68
2001 10 30 303.58
2001 10 31 305.31
2001 11 1 306.06
2001 11 2 304.3
2001 11 5 305.41
2001 11 6 306.08
2001 11 7 307.15
2001 11 8 305.82
2001 11 9 305.5
2001 11 12 305.66
2001 11 13 304.83
2001 11 14 303.07
2001 11 15 300.04
2001 11 16 298.15
2001 11 19 300.13
2001 11 20 298.84
2001 11 21 297.76
2001 11 23 297.05
2001 11 26 297.13
2001 11 27 298.03
2001 11 28 299.25
2001 11 29 302.06
2001 11 30 302.28
2001 12 3 302.78
2001 12 4 303.45
2001 12 5 300.18
2001 12 6 298.82
2001 12 7 297.23
2001 12 10 297.89
2001 12 11 298.63
2001 12 12 299.92
2001 12 13 297.3
2001 12 14 296.78
2001 12 17 296.3
2001 12 18 297.61
2001 12 19 298.74
2001 12 20 298.54
2001 12 21 298.29
2001 12 24 297.86
2001 12 26 297.22
2001 12 27 298.34
2001 12 28 298.51
2001 12 31 300.08
2002 1 2 298.35
2002 1 3 298.73
2002 1 4 298.77
2002 1 7 300.41
2002 1 8 300.1
2002 1 9 300.51
2002 1 10 302.05
2002 1 11 303.54
2002 1 14 303.56
2002 1 15 304
2002 1 16 303.8
2002 1 17 302.57
2002 1 18 303.37
2002 1 22 303.26
2002 1 23 301.82
2002 1 24 301.45
2002 1 25 301.11
2002 1 28 301.21
2002 1 29 302.76
2002 1 30 302.45
2002 1 31 301.74
2002 2 1 302.51
2002 2 4 303.7
2002 2 5 303.67
2002 2 6 303.39
2002 2 7 303.11
2002 2 8 303.78
2002 2 11 303.64
2002 2 12 302.79
2002 2 13 302.25
2002 2 14 302.91
2002 2 15 304.02
2002 2 19 304.03
2002 2 20 304.12
2002 2 21 304.3
2002 2 22 304.95
2002 2 25 304.8
2002 2 26 303.89
2002 2 27 305.27
2002 2 28 304.73
2002 3 1 303.39
2002 3 4 303.18
2002 3 5 303.25
2002 3 6 303.19
2002 3 7 300.85
2002 3 8 299.4
2002 3 11 299.72
2002 3 12 299.86
2002 3 13 300.59
2002 3 14 298.88
2002 3 15 299.32
2002 3 18 299.98
2002 3 19 299.86
2002 3 20 298.57
2002 3 21 298.49
2002 3 22 298.18
2002 3 25 298.19
2002 3 26 299.34
2002 3 27 299.51
2002 3 28 298.66
2002 4 1 298.63
2002 4 2 300.25
2002 4 3 301.5
2002 4 4 301.49
2002 4 5 302.75
2002 4 8 302.41
2002 4 9 303.02
2002 4 10 302.68
2002 4 11 302.88
2002 4 12 303.6
2002 4 15 304.23
2002 4 16 303.05
2002 4 17 302.5
2002 4 18 302.75
2002 4 19 303.39
2002 4 22 303.79
2002 4 23 304.05
2002 4 24 305.19
2002 4 25 305.39
2002 4 26 305.93
2002 4 29 305.47
2002 4 30 305.5
2002 5 1 306.1
2002 5 2 305.64
2002 5 3 306.65
2002 5 6 306.56
2002 5 7 306.86
2002 5 8 304.74
2002 5 9 305.61
2002 5 10 306.53
2002 5 13 305.33
2002 5 14 304.2
2002 5 15 304.73
2002 5 16 306.12
2002 5 17 305.18
2002 5 20 306.26
2002 5 21 307.1
2002 5 22 307.86
2002 5 23 307.34
2002 5 24 307.34
2002 5 28 307.59
2002 5 29 308.16
2002 5 30 308.17
2002 5 31 308.05
2002 6 3 308.58
2002 6 4 309.02
2002 6 5 308.64
2002 6 6 309.32
2002 6 7 308.63
2002 6 10 309.07
2002 6 11 310.09
2002 6 12 310.8
2002 6 13 311.46
2002 6 14 313.25
2002 6 17 312.41
2002 6 18 312.65
2002 6 19 314.59
2002 6 20 313.04
2002 6 21 314.16
2002 6 24 313.07
2002 6 25 313.12
2002 6 26 314.79
2002 6 27 313
2002 6 28 312.35
2002 7 1 312.82
2002 7 2 313.9
2002 7 3 312.41
2002 7 5 310.73
2002 7 8 311.43
2002 7 9 313.02
2002 7 10 314.74
2002 7 11 314.79
2002 7 12 315.35
2002 7 15 314.99
2002 7 16 313.44
2002 7 17 313.72
2002 7 18 315.13
2002 7 19 315.92
2002 7 22 317.59
2002 7 23 318.27
2002 7 24 316.26
2002 7 25 316.67
2002 7 26 317
2002 7 29 314.44
2002 7 30 313.8
2002 7 31 316.01
2002 8 1 316.87
2002 8 2 320.44
2002 8 5 321.24
2002 8 6 319.06
2002 8 7 320.46
2002 8 8 319.18
2002 8 9 321.55
2002 8 12 322.33
2002 8 13 324.03
2002 8 14 324.94
2002 8 15 323.04
2002 8 16 321.02
2002 8 19 321.46
2002 8 20 323.86
2002 8 21 323.68
2002 8 22 322.05
2002 8 23 323.3
2002 8 26 323.89
2002 8 27 322.66
2002 8 28 323.83
2002 8 29 324.83
2002 8 30 325.35
2002 9 3 328.35
2002 9 4 328.89
2002 9 5 329.65
2002 9 6 326.91
2002 9 9 326.92
2002 9 10 327.7
2002 9 11 326.2
2002 9 12 328.06
2002 9 13 329.22
2002 9 16 329.85
2002 9 17 329.87
2002 9 18 330.17
2002 9 19 331.34
2002 9 20 331.19
2002 9 23 332.77
2002 9 24 332.88
2002 9 25 330.91
2002 9 26 330.77
2002 9 27 330.97
2002 9 30 332.51
2002 10 1 330.81
2002 10 2 330.86
2002 10 3 330.87
2002 10 4 330.67
2002 10 7 331.52
2002 10 8 331.09
2002 10 9 332.32
2002 10 10 328.99
2002 10 11 327.81
2002 10 14 327.97
2002 10 15 324.43
2002 10 16 323.98
2002 10 17 322.43
2002 10 18 322.39
2002 10 21 321.39
2002 10 22 321.01
2002 10 23 321.1
2002 10 24 323.33
2002 10 25 324.23
2002 10 28 325.72
2002 10 29 328.23
2002 10 30 328.14
2002 10 31 329.69
2002 11 1 328.68
2002 11 4 327.8
2002 11 5 327.3
2002 11 6 328.2
2002 11 7 331.14
2002 11 8 332.13
2002 11 11 332.29
2002 11 12 333.56
2002 11 13 333.9
2002 11 14 330.8
2002 11 15 331.37
2002 11 18 331.98
2002 11 19 332.75
2002 11 20 331.08
2002 11 21 329.93
2002 11 22 329.54
2002 11 25 329.66
2002 11 26 331.59
2002 11 27 328.79
2002 11 29 329.25
2002 12 2 329.22
2002 12 3 329.11
2002 12 4 329.6
2002 12 5 330.93
2002 12 6 331.42
2002 12 9 332.3
2002 12 10 332.57
2002 12 11 333.69
2002 12 12 333.59
2002 12 13 332.55
2002 12 16 331.6
2002 12 17 331.86
2002 12 18 333.33
2002 12 19 335.14
2002 12 20 335.23
2002 12 23 335.19
2002 12 24 335.94
2002 12 26 336.37
2002 12 27 338.18
2002 12 30 338.73
2002 12 31 338.45
2003 1 2 334.69
2003 1 3 334.75
2003 1 6 334.58
2003 1 7 335.84
2003 1 8 336.9
2003 1 9 333.76
2003 1 10 334.04
2003 1 13 335.01
2003 1 14 335.91
2003 1 15 336.2
2003 1 16 336.36
2003 1 17 337.37
2003 1 21 337.16
2003 1 22 338.14
2003 1 23 337.67
2003 1 24 338.81
2003 1 27 337.69
2003 1 28 337.49
2003 1 29 336.55
2003 1 30 337.83
2003 1 31 338.02
2003 2 3 338.34
2003 2 4 339.67
2003 2 5 338.39
2003 2 6 340.28
2003 2 7 340.59
2003 2 10 339.54
2003 2 11 339.87
2003 2 12 340.22
2003 2 13 341.08
2003 2 14 339.61
2003 2 17 339.77
2003 2 19 341.31
2003 2 20 341.95
2003 2 21 341.19
2003 2 24 342.16
2003 2 25 342.96
2003 2 26 343.77
2003 2 27 344.13
2003 2 28 345.38
2003 3 3 345.93
2003 3 4 346.36
2003 3 5 346.8
2003 3 6 346.5
2003 3 7 347.22
2003 3 10 347.69
2003 3 11 347.33
2003 3 12 347.3
2003 3 13 344.56
2003 3 14 345.36
2003 3 17 343.68
2003 3 18 342.08
2003 3 19 341.21
2003 3 20 340.57
2003 3 21 339.06
2003 3 24 341.5
2003 3 25 341.62
2003 3 26 342.15
2003 3 27 342.47
2003 3 28 343.55
2003 3 31 345.14
2003 4 1 345.26
2003 4 2 343.51
2003 4 3 343.74
2003 4 4 343.85
2003 4 7 342.69
2003 4 8 344.23
2003 4 9 345.03
2003 4 10 344.5
2003 4 11 343.86
2003 4 14 343.22
2003 4 15 344.08
2003 4 16 345.05
2003 4 17 345.08
2003 4 21 345.23
2003 4 22 345.31
2003 4 23 345.26
2003 4 24 347.58
2003 4 25 348.04
2003 4 28 348
2003 4 29 347.41
2003 4 30 349.08
2003 5 1 349.23
2003 5 2 348.25
2003 5 5 348.96
2003 5 6 350.35
2003 5 7 352.43
2003 5 8 352.46
2003 5 9 352.3
2003 5 12 353.21
2003 5 13 353.6
2003 5 14 355.42
2003 5 15 354.73
2003 5 16 356.13
2003 5 19 356.55
2003 5 20 358.03
2003 5 21 357.26
2003 5 22 358.37
2003 5 23 358.72
2003 5 26 358.88
2003 5 27 357.61
2003 5 29 358.76
2003 5 30 358.52
2003 5 31 358.56
2003 6 2 357.2
2003 6 3 359.12
2003 6 5 359.16
2003 6 6 358.94
2003 6 9 360.69
2003 6 10 362.75
2003 6 11 362.67
2003 6 12 363.31
2003 6 13 364.51
2003 6 16 363.33
2003 6 17 361.88
2003 6 18 360.13
2003 6 19 360.53
2003 6 20 359.54
2003 6 23 361.27
2003 6 24 362
2003 6 25 360
2003 6 26 356.89
2003 6 27 356.47
2003 6 30 357.39
2003 7 1 356.99
2003 7 2 357.44
2003 7 3 355.57
2003 7 4 355.62
2003 7 7 354.79
2003 7 8 354.53
2003 7 9 354.98
2003 7 11 356.44
2003 7 14 355.03
2003 7 15 351.44
2003 7 16 351.01
2003 7 17 351.03
2003 7 18 350.72
2003 7 21 347.31
2003 7 22 348.08
2003 7 23 348.89
2003 7 24 347.92
2003 7 25 347.77
2003 7 28 345.81
2003 7 29 343.91
2003 7 30 345
2003 7 31 341.74
2003 8 1 342.71
2003 8 4 343.62
2003 8 5 341.66
2003 8 6 344.26
2003 8 7 345.3
2003 8 8 345.59
2003 8 11 344.34
2003 8 12 344.54
2003 8 13 340.79
2003 8 14 340.08
2003 8 15 341.03
2003 8 18 342.12
2003 8 19 344.04
2003 8 20 343.37
2003 8 21 342.14
2003 8 22 343.21
2003 8 25 342.15
2003 8 26 342.9
2003 8 27 342.07
2003 8 28 344.29
2003 8 29 343.89
2003 8 31 343.99
2003 9 1 344
2003 9 2 341.94
2003 9 3 341.95
2003 9 4 343.44
2003 9 8 345.72
2003 9 10 347.88
2003 9 11 346.92
2003 9 12 348.19
2003 9 15 349.03
2003 9 16 348.16
2003 9 17 349.84
2003 9 18 349.96
2003 9 19 350.43
2003 9 22 349.47
2003 9 23 350.14
2003 9 24 351.43
2003 9 25 351.88
2003 9 26 353.37
2003 9 29 352.65
2003 9 30 355.23
2003 10 1 355.4
2003 10 2 354.19
2003 10 3 350.66
2003 10 6 351.85
2003 10 7 350.19
2003 10 8 350.41
2003 10 9 349.49
2003 10 10 350.54
2003 10 13 350.69
2003 10 14 349.32
2003 10 15 348.63
2003 10 16 347.48
2003 10 17 349.06
2003 10 20 349.59
2003 10 21 349.88
2003 10 22 351.11
2003 10 23 350.52
2003 10 24 352.59
2003 10 27 351.63
2003 10 28 353.18
2003 10 29 351.63
2003 10 30 350.61
2003 10 31 351.46
2003 11 3 350.46
2003 11 4 351.49
2003 11 5 350.55
2003 11 6 349.36
2003 11 7 348.83
2003 11 10 348.52
2003 11 11 348.57
2003 11 12 349.69
2003 11 13 352.31
2003 11 14 353.52
2003 11 17 354.49
2003 11 18 354.85
2003 11 19 353.61
2003 11 20 354.94
2003 11 21 355.17
2003 11 24 353.76
2003 11 25 354.53
2003 11 26 353.62
2003 11 27 353.67
2003 11 28 352.19
2003 11 30 352.29
2003 12 1 351.26
2003 12 2 351.8
2003 12 3 351.22
2003 12 4 352.02
2003 12 8 353.79
2003 12 9 352.6
2003 12 11 354.49
2003 12 12 354.61
2003 12 15 354.31
2003 12 16 355.15
2003 12 17 355.97
2003 12 18 356.8
2003 12 19 357.1
2003 12 22 356.65
2003 12 23 354.9
2003 12 24 356.31
2003 12 26 357.31
2003 12 29 356.13
2003 12 30 355.31
2003 12 31 355.72
2004 1 2 353.64
2004 1 5 353.87
2004 1 6 355.77
2004 1 7 356.45
2004 1 8 356.51
2004 1 9 359.5
2004 1 12 359.82
2004 1 13 360.75
2004 1 14 361.5
2004 1 15 361.6
2004 1 16 360.98
2004 1 20 360.6
2004 1 21 360.95
2004 1 22 362.09
2004 1 23 360.36
2004 1 26 359.27
2004 1 27 360.25
2004 1 28 358.18
2004 1 29 358.3
2004 1 30 359.37
2004 1 31 359.42
2004 2 3 360.16
2004 2 4 359.7
2004 2 5 358.79
2004 2 6 360.39
2004 2 9 361.06
2004 2 10 360.35
2004 2 11 361.78
2004 2 12 361.04
2004 2 13 361.83
2004 2 16 361.98
2004 2 17 361.92
2004 2 19 361.97
2004 2 20 360.98
2004 2 23 362.13
2004 2 24 362.38
2004 2 25 362.7
2004 2 26 362.27
2004 2 27 363.56
2004 2 29 363.66
2004 3 1 363.72
2004 3 2 362.76
2004 3 4 363.22
2004 3 5 366.87
2004 3 8 367.96
2004 3 9 368.92
2004 3 10 368.59
2004 3 11 368.34
2004 3 12 368.08
2004 3 15 368.01
2004 3 16 369.48
2004 3 17 369.3
2004 3 18 368.27
2004 3 19 367.66
2004 3 22 368.98
2004 3 23 369.03
2004 3 24 369.03
2004 3 25 368.71
2004 3 26 367.08
2004 3 29 366.48
2004 3 30 366.31
2004 3 31 367.7
2004 4 1 366.55
2004 4 2 362.12
2004 4 5 360.84
2004 4 6 361.66
2004 4 7 361.8
2004 4 8 361.3
2004 4 12 361
2004 4 13 359.19
2004 4 14 358.26
2004 4 15 357.76
2004 4 16 358.77
2004 4 19 358.44
2004 4 20 357.69
2004 4 21 357.3
2004 4 22 358.37
2004 4 23 356.81
2004 4 26 357.4
2004 4 27 357.95
2004 4 28 356.38
2004 4 29 355.33
2004 4 30 355.93
2004 5 3 356.12
2004 5 4 355.53
2004 5 5 354.56
2004 5 6 353.88
2004 5 7 350.63
2004 5 10 350.58
2004 5 11 350.9
2004 5 12 350.38
2004 5 13 349.4
2004 5 14 350.69
2004 5 17 352.25
2004 5 18 351.67
2004 5 19 350.95
2004 5 20 352.36
2004 5 21 351.66
2004 5 24 352.19
2004 5 25 352.54
2004 5 26 353.51
2004 5 27 354.99
2004 5 28 353.64
2004 5 31 353.78
2004 6 1 353.07
2004 6 2 352.47
2004 6 3 352.75
2004 6 7 352.01
2004 6 8 352.2
2004 6 9 351.45
2004 6 10 351.76
2004 6 11 351.81
2004 6 14 350.43
2004 6 15 353.6
2004 6 16 352.84
2004 6 17 353.64
2004 6 21 353.86
2004 6 22 353.65
2004 6 23 353.9
2004 6 24 354.85
2004 6 25 354.91
2004 6 28 353.36
2004 6 29 354.22
2004 6 30 355.69
2004 7 1 356.64
2004 7 2 358.52
2004 7 5 358.67
2004 7 6 358.47
2004 7 7 358.57
2004 7 8 358.76
2004 7 9 358.9
2004 7 12 359.32
2004 7 14 358.7
2004 7 15 358.73
2004 7 16 361.09
2004 7 19 361.26
2004 7 20 359.62
2004 7 21 358.89
2004 7 22 359.33
2004 7 23 359.84
2004 7 26 359.27
2004 7 27 357.25
2004 7 28 357.55
2004 7 29 357.85
2004 7 30 359.68
2004 7 31 359.72
2004 8 2 359.87
2004 8 3 360.43
2004 8 4 360.37
2004 8 5 360.88
2004 8 6 364.32
2004 8 9 364.02
2004 8 11 363.41
2004 8 12 363.92
2004 8 13 364.79
2004 8 16 364.16
2004 8 17 365.25
2004 8 18 364.93
2004 8 19 365.31
2004 8 20 364.94
2004 8 23 364.41
2004 8 24 364.44
2004 8 25 364.82
2004 8 26 365.58
2004 8 27 365.65
2004 8 30 366.66
2004 8 31 367.67
2004 9 1 367.75
2004 9 2 366.69
2004 9 3 364.87
2004 9 6 365.02
2004 9 7 365.9
2004 9 8 367.41
2004 9 9 366.85
2004 9 10 367.26
2004 9 13 367.9
2004 9 14 368.41
2004 9 15 367.78
2004 9 17 368.57
2004 9 20 370
2004 9 21 370.35
2004 9 22 371.2
2004 9 23 370.48
2004 9 24 370.49
2004 9 27 371.26
2004 9 28 370.95
2004 9 29 369.61
2004 9 30 369.19
2004 10 1 368.05
2004 10 4 368.43
2004 10 5 368.58
2004 10 6 367.63
2004 10 7 367.24
2004 10 8 369.39
2004 10 11 369.55
2004 10 12 370.21
2004 10 13 370.66
2004 10 14 371.74
2004 10 15 370.95
2004 10 18 371.08
2004 10 19 371.46
2004 10 20 371.91
2004 10 21 371.77
2004 10 22 372.2
2004 10 25 372.6
2004 10 26 372.44
2004 10 27 370.7
2004 10 28 370.97
2004 10 29 372.08
2004 10 31 372.17
2004 11 1 370.98
2004 11 2 371.22
2004 11 3 371.56
2004 11 4 371.59
2004 11 5 369.24
2004 11 8 368.9
2004 11 9 368.87
2004 11 10 368.07
2004 11 12 369.29
2004 11 15 369.55
2004 11 16 369.46
2004 11 17 370.68
2004 11 18 371.17
2004 11 19 369.78
2004 11 22 370.37
2004 11 23 370.1
2004 11 24 369.9
2004 11 25 369.95
2004 11 26 369.22
2004 11 29 367.97
2004 11 30 367.86
2004 12 1 367.69
2004 12 2 367.26
2004 12 3 369.58
2004 12 6 370.21
2004 12 7 370.36
2004 12 8 372.27
2004 12 10 371.9
2004 12 13 372.09
2004 12 14 372.51
2004 12 15 373.46
2004 12 16 371.62
2004 12 17 371.2
2004 12 20 371.5
2004 12 21 372.04
2004 12 22 371.66
2004 12 23 371.45
2004 12 27 370.39
2004 12 28 370.4
2004 12 29 369.89
2004 12 30 370.91
2004 12 31 371.82
2005 1 3 371.85
2005 1 4 370.57
2005 1 5 370.76
2005 1 6 370.86
2005 1 7 370.71
2005 1 10 370.89
2005 1 11 371.47
2005 1 12 371.68
2005 1 13 372.6
2005 1 14 372.1
2005 1 18 372.42
2005 1 19 372.62
2005 1 20 373.18
2005 1 21 373.73
2005 1 24 374.03
2005 1 25 373.02
2005 1 26 372.98
2005 1 27 372.78
2005 1 28 374.02
2005 1 31 374.1
2005 2 1 374.04
2005 2 2 373.98
2005 2 3 373.65
2005 2 4 375.36
2005 2 7 375.92
2005 2 8 376.24
2005 2 9 377.29
2005 2 10 375.83
2005 2 11 375.19
2005 2 14 375.67
2005 2 15 375.26
2005 2 16 374.25
2005 2 17 373.99
2005 2 18 372.7
2005 2 22 372.56
2005 2 23 372.87
2005 2 24 372.68
2005 2 25 372.87
2005 2 28 371.57
2005 3 1 371.61
2005 3 2 371.59
2005 3 3 371.52
2005 3 4 372.88
2005 3 7 373.13
2005 3 8 372
2005 3 9 369.89
2005 3 10 370.59
2005 3 11 369.38
2005 3 14 369.84
2005 3 15 369.42
2005 3 16 369.51
2005 3 17 370.28
2005 3 18 369.62
2005 3 21 369.47
2005 3 22 368.09
2005 3 23 367.67
2005 3 24 367.94
2005 3 28 367.5
2005 3 29 368.11
2005 3 30 368.65
2005 3 31 369.5
2005 4 1 370.43
2005 4 4 370.15
2005 4 5 370.02
2005 4 6 370.61
2005 4 7 369.88
2005 4 8 369.59
2005 4 11 370.39
2005 4 12 371.91
2005 4 13 371.8
2005 4 14 372.02
2005 4 15 373.32
2005 4 18 373.92
2005 4 19 375.25
2005 4 20 374.81
2005 4 21 373.14
2005 4 22 374.08
2005 4 25 374.31
2005 4 26 374.09
2005 4 27 374.7
2005 4 28 375.87
2005 4 29 375.24
2005 5 2 375.54
2005 5 3 375.31
2005 5 4 375.33
2005 5 5 375.9
2005 5 6 373.99
2005 5 9 373.99
2005 5 10 375.16
2005 5 11 375.64
2005 5 12 376.08
2005 5 13 376.75
2005 5 16 377.01
2005 5 17 377.25
2005 5 18 378.15
2005 5 19 377.37
2005 5 20 377.08
2005 5 23 378.31
2005 5 24 378.97
2005 5 25 378.38
2005 5 26 378.13
2005 5 27 378.31
2005 5 31 380.03
2005 6 1 382.19
2005 6 2 382.53
2005 6 3 380.89
2005 6 6 381.49
2005 6 7 382.51
2005 6 8 381.96
2005 6 9 381.1
2005 6 10 379.64
2005 6 13 379.13
2005 6 14 378.29
2005 6 15 378.42
2005 6 16 379.34
2005 6 17 379.26
2005 6 20 379.06
2005 6 21 380.14
2005 6 22 382.11
2005 6 23 381.86
2005 6 24 382.79
2005 6 27 383.29
2005 6 28 382
2005 6 29 381.52
2005 6 30 382.45
2005 7 1 380.69
2005 7 5 379.66
2005 7 6 380.31
2005 7 7 380.85
2005 7 8 379.71
2005 7 11 379.97
2005 7 12 379.31
2005 7 13 378.96
2005 7 14 378.73
2005 7 15 378.87
2005 7 18 378.31
2005 7 19 379.15
2005 7 20 379.49
2005 7 21 377.63
2005 7 22 378.63
2005 7 25 378.25
2005 7 26 378.37
2005 7 27 377.94
2005 7 28 379.24
2005 7 29 377.68
2005 8 1 377.19
2005 8 2 376.88
2005 8 3 377.58
2005 8 4 377.23
2005 8 5 375.87
2005 8 8 375.57
2005 8 9 376.05
2005 8 10 376.03
2005 8 11 377.13
2005 8 12 378.61
2005 8 15 378.34
2005 8 16 379.32
2005 8 17 378.5
2005 8 18 379.59
2005 8 19 379.74
2005 8 22 379.78
2005 8 23 380.34
2005 8 24 380.51
2005 8 25 380.89
2005 8 26 380.32
2005 8 29 380.75
2005 8 30 382.44
2005 8 31 383.77
2005 9 1 384.09
2005 9 2 383.78
2005 9 6 383.01
2005 9 7 381.92
2005 9 8 381.83
2005 9 9 382.12
2005 9 12 381.49
2005 9 13 382.23
2005 9 14 381.7
2005 9 15 380.84
2005 9 16 379.97
2005 9 19 380.5
2005 9 20 380.36
2005 9 21 381.45
2005 9 22 381.71
2005 9 23 380.47
2005 9 26 379.79
2005 9 27 379.6
2005 9 28 380.44
2005 9 29 379.85
2005 9 30 379.2
2005 10 3 378.36
2005 10 4 378.61
2005 10 5 378.97
2005 10 6 379.07
2005 10 7 379.21
2005 10 10 379.37
2005 10 11 378.97
2005 10 12 377.93
2005 10 13 377.29
2005 10 14 377.06
2005 10 17 377.24
2005 10 18 377.47
2005 10 19 377.83
2005 10 20 377.86
2005 10 21 379.19
2005 10 24 378.32
2005 10 25 377.31
2005 10 26 375.73
2005 10 27 376.22
2005 10 28 376.08
2005 10 31 376.39
2005 11 1 376.07
2005 11 2 375.61
2005 11 3 374.93
2005 11 4 374.76
2005 11 7 375.21
2005 11 8 376.43
2005 11 9 375.3
2005 11 10 376.52
2005 11 11 376.57
2005 11 14 375.88
2005 11 15 376.83
2005 11 16 378.2
2005 11 17 378.82
2005 11 18 378.13
2005 11 21 378.88
2005 11 22 379.55
2005 11 23 378.64
2005 11 25 379.58
2005 11 28 380.24
2005 11 29 378.81
2005 11 30 378.45
2005 12 1 378.04
2005 12 2 378.16
2005 12 5 377.61
2005 12 6 379
2005 12 7 378.65
2005 12 8 379.72
2005 12 9 378.47
2005 12 12 378.43
2005 12 13 378.72
2005 12 14 380.25
2005 12 15 379.97
2005 12 16 380.34
2005 12 19 380.53
2005 12 20 380.1
2005 12 21 379.77
2005 12 22 380.81
2005 12 23 381.78
2005 12 27 382.66
2005 12 28 382.04
2005 12 29 382.06
2005 12 30 381.68
2006 1 3 382.46
2006 1 4 382.74
2006 1 5 382.69
2006 1 6 382.26
2006 1 9 382.5
2006 1 10 381.7
2006 1 11 381.14
2006 1 13 383.14
2006 1 17 383.66
2006 1 18 383.56
2006 1 19 382.95
2006 1 20 383.37
2006 1 23 383.58
2006 1 24 383.15
2006 1 25 381.68
2006 1 26 381.05
